client_id,age,gender,state,occupation,income,income_band,join_year,nationality,marital,education
C100000,56,Female,NSW,Housemaid,99857,Medium,2019,Indian,married,basic.4y
C100001,57,Male,NSW,Services,99870,Medium,2022,Australian,married,high.school
C100002,37,Female,NSW,Services,104355,Medium,2020,Australian,married,high.school
C100003,40,Male,VIC,Admin,93787,Medium,2022,Australian,married,basic.6y
C100004,56,Female,NT,Services,88088,Medium,2024,Indian,married,high.school
C100005,45,Female,VIC,Services,83024,Medium,2021,Australian,married,basic.9y
C100006,59,Male,VIC,Admin,114184,Medium,2021,Other,married,professional.course
C100007,41,Female,TAS,Blue-Collar,101755,Medium,2021,Indian,married,unknown
C100008,24,Male,NSW,Technician,93498,Medium,2024,Australian,single,professional.course
C100009,25,Female,SA,Services,74913,Low,2022,British,single,high.school
C100010,41,Male,NSW,Blue-Collar,116103,Medium,2019,British,married,unknown
C100011,25,Female,NSW,Services,94484,Medium,2023,Australian,single,high.school
C100012,29,Female,NSW,Blue-Collar,82142,Medium,2024,Australian,single,high.school
C100013,57,Female,NSW,Housemaid,110577,Medium,2019,Australian,divorced,basic.4y
C100014,35,Male,NSW,Blue-Collar,85060,Medium,2024,Indian,married,basic.6y
C100015,54,Female,VIC,Retired,93588,Medium,2023,Australian,married,basic.9y
C100016,35,Female,NSW,Blue-Collar,83875,Medium,2022,Indian,married,basic.6y
C100017,46,Male,QLD,Blue-Collar,77293,Medium,2022,Australian,married,basic.6y
C100018,50,Female,VIC,Blue-Collar,106241,Medium,2022,Chinese,married,basic.9y
C100019,39,Male,WA,Management,89351,Medium,2024,Australian,single,basic.9y
C100020,30,Female,VIC,Unemployed,90782,Medium,2020,Australian,married,high.school
C100021,55,Female,QLD,Blue-Collar,84779,Medium,2022,Chinese,married,basic.4y
C100022,55,Male,VIC,Retired,122920,Medium,2020,Australian,single,high.school
C100023,41,Male,QLD,Technician,99296,Medium,2020,Australian,single,high.school
C100024,37,Female,VIC,Admin,81810,Medium,2024,Australian,married,high.school
C100025,35,Male,NSW,Technician,102324,Medium,2022,Australian,married,university.degree
C100026,59,Male,VIC,Technician,136838,Medium,2024,Australian,married,unknown
C100027,39,Male,NSW,Self-Employed,96735,Medium,2023,Australian,married,basic.9y
C100028,54,Male,NSW,Technician,127653,Medium,2024,Australian,single,university.degree
C100029,55,Female,QLD,Unknown,131120,Medium,2021,Chinese,married,university.degree
C100030,46,Female,NSW,Admin,134300,Medium,2024,British,married,unknown
C100031,59,Female,WA,Technician,125573,Medium,2022,Australian,married,unknown
C100032,49,Male,NSW,Blue-Collar,106203,Medium,2022,Australian,married,unknown
C100033,54,Female,WA,Management,85935,Medium,2024,Australian,married,basic.4y
C100034,54,Male,NSW,Blue-Collar,99492,Medium,2021,Australian,divorced,basic.4y
C100035,55,Female,NSW,Unknown,118498,Medium,2021,Australian,married,basic.4y
C100036,34,Female,VIC,Services,91433,Medium,2024,Other,married,high.school
C100037,52,Male,QLD,Technician,96918,Medium,2022,Australian,married,basic.9y
C100038,41,Male,NSW,Admin,90956,Medium,2021,Other,married,university.degree
C100039,56,Male,NSW,Technician,111207,Medium,2022,Australian,married,basic.4y
C100040,58,Male,NSW,Management,129019,Medium,2020,Indian,unknown,university.degree
C100041,32,Male,QLD,Entrepreneur,91618,Medium,2023,Australian,married,high.school
C100042,38,Female,NSW,Admin,86814,Medium,2020,New Zealander,single,professional.course
C100043,57,Male,VIC,Admin,117236,Medium,2023,Australian,married,university.degree
C100044,44,Male,VIC,Admin,104800,Medium,2023,Australian,married,university.degree
C100045,42,Female,NSW,Technician,111624,Medium,2023,Australian,single,professional.course
C100046,57,Male,VIC,Admin,124907,Medium,2023,Australian,married,university.degree
C100047,40,Male,NSW,Blue-Collar,89883,Medium,2022,Indian,married,basic.9y
C100048,35,Male,NSW,Admin,103897,Medium,2021,Australian,married,university.degree
C100049,45,Male,QLD,Blue-Collar,92261,Medium,2019,Indian,married,basic.9y
C100050,54,Female,NSW,Admin,104869,Medium,2024,Australian,married,high.school
C100051,39,Male,WA,Housemaid,89325,Medium,2024,New Zealander,married,basic.4y
C100052,60,Male,VIC,Admin,89014,Medium,2019,Australian,married,high.school
C100053,53,Male,QLD,Admin,103714,Medium,2021,Australian,single,professional.course
C100054,55,Female,SA,Blue-Collar,87306,Medium,2022,Australian,married,basic.4y
C100055,55,Female,TAS,Technician,112383,Medium,2024,Indian,married,professional.course
C100056,50,Male,WA,Management,109998,Medium,2023,Australian,married,university.degree
C100057,45,Male,VIC,Services,120089,Medium,2022,Australian,married,high.school
C100058,55,Female,NSW,Unemployed,110860,Medium,2021,Australian,married,professional.course
C100059,25,Male,NSW,Technician,109669,Medium,2023,Australian,single,university.degree
C100060,47,Male,QLD,Entrepreneur,88156,Medium,2021,Australian,married,university.degree
C100061,51,Female,VIC,Blue-Collar,92531,Medium,2024,Australian,married,basic.9y
C100062,42,Male,WA,Blue-Collar,87353,Medium,2021,Australian,married,basic.6y
C100063,42,Female,VIC,Blue-Collar,92435,Medium,2020,Australian,married,basic.6y
C100064,48,Male,QLD,Admin,104835,Medium,2022,Australian,married,high.school
C100065,37,Male,SA,Admin,106970,Medium,2023,New Zealander,married,university.degree
C100066,44,Female,NSW,Blue-Collar,86415,Medium,2020,Indian,single,basic.9y
C100067,33,Male,VIC,Admin,92002,Medium,2022,Australian,married,unknown
C100068,56,Female,QLD,Admin,109896,Medium,2022,British,married,basic.9y
C100069,44,Male,NSW,Blue-Collar,81304,Medium,2023,Australian,single,basic.4y
C100070,41,Female,NSW,Management,72842,Low,2024,Australian,married,basic.6y
C100071,44,Female,TAS,Management,94601,Medium,2023,Australian,divorced,university.degree
C100072,47,Female,SA,Admin,94917,Medium,2020,Australian,married,university.degree
C100073,57,Male,VIC,Unknown,137116,Medium,2023,Australian,married,unknown
C100074,37,Male,NSW,Admin,99159,Medium,2022,Australian,married,university.degree
C100075,41,Male,NSW,Blue-Collar,89336,Medium,2024,Australian,divorced,basic.4y
C100076,55,Male,NSW,Technician,118423,Medium,2022,Australian,married,university.degree
C100077,33,Female,WA,Services,93852,Medium,2019,Chinese,married,high.school
C100078,55,Male,QLD,Management,128557,Medium,2021,Australian,married,unknown
C100079,42,Male,NSW,Blue-Collar,85188,Medium,2023,Australian,married,basic.9y
C100080,50,Male,QLD,Blue-Collar,94181,Medium,2021,Australian,married,basic.4y
C100081,51,Male,QLD,Blue-Collar,81607,Medium,2020,British,married,basic.4y
C100082,38,Male,VIC,Admin,83443,Medium,2023,Australian,married,high.school
C100083,49,Female,VIC,Entrepreneur,105469,Medium,2021,Australian,married,university.degree
C100084,38,Female,VIC,Technician,94750,Medium,2020,Australian,single,university.degree
C100085,31,Male,NSW,Admin,87694,Medium,2022,Chinese,divorced,high.school
C100086,41,Female,VIC,Management,82517,Medium,2019,Australian,married,basic.6y
C100087,39,Female,VIC,Admin,99300,Medium,2019,British,married,university.degree
C100088,49,Male,VIC,Technician,110219,Medium,2024,British,married,basic.9y
C100089,34,Male,SA,Admin,89758,Medium,2024,Other,married,high.school
C100090,35,Female,VIC,Admin,103735,Medium,2021,Australian,married,university.degree
C100091,57,Female,NSW,Unknown,129968,Medium,2020,Indian,married,unknown
C100092,60,Female,NSW,Admin,115420,Medium,2020,Australian,married,unknown
C100093,33,Male,VIC,Unemployed,91093,Medium,2024,Australian,married,basic.9y
C100094,42,Male,NSW,Blue-Collar,65152,Low,2023,Australian,married,basic.6y
C100095,45,Male,QLD,Services,91785,Medium,2023,Other,married,professional.course
C100096,42,Female,WA,Management,90628,Medium,2020,Australian,married,university.degree
C100097,53,Female,VIC,Admin,99083,Medium,2024,Indian,divorced,university.degree
C100098,37,Female,NSW,Technician,109547,Medium,2023,Australian,single,professional.course
C100099,44,Female,QLD,Blue-Collar,76234,Medium,2024,Australian,married,basic.6y
C100100,54,Female,VIC,Services,119262,Medium,2023,Australian,married,unknown
C100101,49,Male,QLD,Blue-Collar,103441,Medium,2022,New Zealander,married,basic.4y
C100102,54,Female,NSW,Services,119525,Medium,2021,Indian,married,unknown
C100103,52,Male,SA,Admin,119050,Medium,2022,Australian,divorced,university.degree
C100104,52,Female,NSW,Admin,98997,Medium,2024,Australian,divorced,university.degree
C100105,43,Male,QLD,Services,97985,Medium,2020,Australian,single,high.school
C100106,34,Female,VIC,Housemaid,69600,Low,2020,Australian,married,basic.6y
C100107,35,Female,NSW,Admin,81182,Medium,2022,Australian,married,high.school
C100108,42,Female,NSW,Entrepreneur,117684,Medium,2024,Australian,married,unknown
C100109,43,Male,SA,Technician,96122,Medium,2021,Indian,married,unknown
C100110,60,Female,NSW,Retired,128213,Medium,2020,Australian,divorced,university.degree
C100111,58,Female,TAS,Unemployed,109153,Medium,2022,New Zealander,married,basic.4y
C100112,35,Female,VIC,Services,86520,Medium,2021,Australian,divorced,high.school
C100113,55,Female,NSW,Blue-Collar,82597,Medium,2022,Other,married,basic.9y
C100114,37,Female,NSW,Management,103116,Medium,2019,Australian,married,university.degree
C100115,36,Female,QLD,Blue-Collar,80946,Medium,2022,Australian,married,high.school
C100116,52,Male,QLD,Admin,112992,Medium,2024,Australian,divorced,university.degree
C100117,57,Male,VIC,Blue-Collar,119412,Medium,2021,Australian,divorced,unknown
C100118,56,Male,VIC,Admin,136321,Medium,2024,Australian,married,unknown
C100119,48,Female,WA,Blue-Collar,84128,Medium,2022,Australian,divorced,basic.4y
C100120,40,Male,NSW,Blue-Collar,78418,Medium,2019,Australian,married,high.school
C100121,49,Male,QLD,Blue-Collar,100501,Medium,2021,New Zealander,divorced,high.school
C100122,41,Male,NSW,Services,101390,Medium,2023,Australian,married,high.school
C100123,45,Male,VIC,Technician,120860,Medium,2023,Australian,married,high.school
C100124,32,Female,NSW,Admin,103221,Medium,2019,New Zealander,married,university.degree
C100125,42,Female,QLD,Admin,105982,Medium,2023,Australian,married,university.degree
C100126,50,Female,NSW,Admin,108560,Medium,2020,Other,married,basic.6y
C100127,31,Female,QLD,Technician,85385,Medium,2020,Australian,divorced,professional.course
C100128,56,Female,QLD,Retired,90923,Medium,2020,Australian,married,basic.4y
C100129,41,Male,NSW,Technician,97031,Medium,2023,Australian,married,professional.course
C100130,37,Female,VIC,Blue-Collar,76472,Medium,2024,Australian,married,basic.6y
C100131,41,Female,WA,Technician,91630,Medium,2022,Indian,married,professional.course
C100132,35,Male,NSW,Blue-Collar,108072,Medium,2020,New Zealander,married,unknown
C100133,37,Female,NSW,Blue-Collar,78483,Medium,2019,Chinese,married,basic.6y
C100134,52,Male,NSW,Management,97350,Medium,2024,Indian,married,university.degree
C100135,39,Female,NSW,Management,91763,Medium,2020,Other,divorced,university.degree
C100136,39,Male,NSW,Housemaid,85512,Medium,2020,Australian,married,basic.4y
C100137,56,Female,NSW,Blue-Collar,103858,Medium,2024,Australian,married,basic.4y
C100138,34,Female,NSW,Services,116761,Medium,2023,Australian,married,high.school
C100139,45,Female,VIC,Blue-Collar,126416,Medium,2024,Australian,married,basic.9y
C100140,43,Female,NSW,Unemployed,119523,Medium,2023,Australian,single,university.degree
C100141,56,Female,NSW,Management,110026,Medium,2024,Australian,married,unknown
C100142,39,Male,VIC,Management,78365,Medium,2024,Australian,married,university.degree
C100143,53,Male,VIC,Blue-Collar,94463,Medium,2023,Australian,married,basic.4y
C100144,38,Male,NSW,Unknown,91245,Medium,2023,Australian,divorced,high.school
C100145,42,Male,QLD,Blue-Collar,76916,Medium,2022,Australian,married,basic.4y
C100146,42,Male,VIC,Blue-Collar,74555,Low,2022,British,married,basic.4y
C100147,35,Male,VIC,Admin,83561,Medium,2024,British,single,high.school
C100148,40,Male,QLD,Admin,112792,Medium,2021,Indian,married,university.degree
C100149,51,Male,NSW,Blue-Collar,91435,Medium,2024,Chinese,married,basic.4y
C100150,60,Female,VIC,Blue-Collar,102296,Medium,2023,Australian,married,basic.9y
C100151,56,Male,NSW,Entrepreneur,107072,Medium,2023,Australian,married,unknown
C100152,39,Male,VIC,Services,76954,Medium,2020,Australian,divorced,high.school
C100153,56,Female,NSW,Entrepreneur,113664,Medium,2020,Australian,married,unknown
C100154,40,Female,VIC,Blue-Collar,104055,Medium,2020,Australian,married,unknown
C100155,36,Male,NSW,Blue-Collar,105015,Medium,2021,Australian,married,basic.9y
C100156,51,Female,QLD,Blue-Collar,115613,Medium,2024,Australian,married,unknown
