date,date_id,year,month,quarter,financial_year
2019-01-01,20190101,2019,1,Q1,FY2019
2019-01-02,20190102,2019,1,Q1,FY2019
2019-01-03,20190103,2019,1,Q1,FY2019
2019-01-04,20190104,2019,1,Q1,FY2019
2019-01-05,20190105,2019,1,Q1,FY2019
2019-01-06,20190106,2019,1,Q1,FY2019
2019-01-07,20190107,2019,1,Q1,FY2019
2019-01-08,20190108,2019,1,Q1,FY2019
2019-01-09,20190109,2019,1,Q1,FY2019
2019-01-10,20190110,2019,1,Q1,FY2019
2019-01-11,20190111,2019,1,Q1,FY2019
2019-01-12,20190112,2019,1,Q1,FY2019
2019-01-13,20190113,2019,1,Q1,FY2019
2019-01-14,20190114,2019,1,Q1,FY2019
2019-01-15,20190115,2019,1,Q1,FY2019
2019-01-16,20190116,2019,1,Q1,FY2019
2019-01-17,20190117,2019,1,Q1,FY2019
2019-01-18,20190118,2019,1,Q1,FY2019
2019-01-19,20190119,2019,1,Q1,FY2019
2019-01-20,20190120,2019,1,Q1,FY2019
2019-01-21,20190121,2019,1,Q1,FY2019
2019-01-22,20190122,2019,1,Q1,FY2019
2019-01-23,20190123,2019,1,Q1,FY2019
2019-01-24,20190124,2019,1,Q1,FY2019
2019-01-25,20190125,2019,1,Q1,FY2019
2019-01-26,20190126,2019,1,Q1,FY2019
2019-01-27,20190127,2019,1,Q1,FY2019
2019-01-28,20190128,2019,1,Q1,FY2019
2019-01-29,20190129,2019,1,Q1,FY2019
2019-01-30,20190130,2019,1,Q1,FY2019
2019-01-31,20190131,2019,1,Q1,FY2019
2019-02-01,20190201,2019,2,Q1,FY2019
2019-02-02,20190202,2019,2,Q1,FY2019
2019-02-03,20190203,2019,2,Q1,FY2019
2019-02-04,20190204,2019,2,Q1,FY2019
2019-02-05,20190205,2019,2,Q1,FY2019
2019-02-06,20190206,2019,2,Q1,FY2019
2019-02-07,20190207,2019,2,Q1,FY2019
2019-02-08,20190208,2019,2,Q1,FY2019
2019-02-09,20190209,2019,2,Q1,FY2019
2019-02-10,20190210,2019,2,Q1,FY2019
2019-02-11,20190211,2019,2,Q1,FY2019
2019-02-12,20190212,2019,2,Q1,FY2019
2019-02-13,20190213,2019,2,Q1,FY2019
2019-02-14,20190214,2019,2,Q1,FY2019
2019-02-15,20190215,2019,2,Q1,FY2019
2019-02-16,20190216,2019,2,Q1,FY2019
2019-02-17,20190217,2019,2,Q1,FY2019
2019-02-18,20190218,2019,2,Q1,FY2019
2019-02-19,20190219,2019,2,Q1,FY2019
2019-02-20,20190220,2019,2,Q1,FY2019
2019-02-21,20190221,2019,2,Q1,FY2019
2019-02-22,20190222,2019,2,Q1,FY2019
2019-02-23,20190223,2019,2,Q1,FY2019
2019-02-24,20190224,2019,2,Q1,FY2019
2019-02-25,20190225,2019,2,Q1,FY2019
2019-02-26,20190226,2019,2,Q1,FY2019
2019-02-27,20190227,2019,2,Q1,FY2019
2019-02-28,20190228,2019,2,Q1,FY2019
2019-03-01,20190301,2019,3,Q1,FY2019
2019-03-02,20190302,2019,3,Q1,FY2019
2019-03-03,20190303,2019,3,Q1,FY2019
2019-03-04,20190304,2019,3,Q1,FY2019
2019-03-05,20190305,2019,3,Q1,FY2019
2019-03-06,20190306,2019,3,Q1,FY2019
2019-03-07,20190307,2019,3,Q1,FY2019
2019-03-08,20190308,2019,3,Q1,FY2019
2019-03-09,20190309,2019,3,Q1,FY2019
2019-03-10,20190310,2019,3,Q1,FY2019
2019-03-11,20190311,2019,3,Q1,FY2019
2019-03-12,20190312,2019,3,Q1,FY2019
2019-03-13,20190313,2019,3,Q1,FY2019
2019-03-14,20190314,2019,3,Q1,FY2019
2019-03-15,20190315,2019,3,Q1,FY2019
2019-03-16,20190316,2019,3,Q1,FY2019
2019-03-17,20190317,2019,3,Q1,FY2019
2019-03-18,20190318,2019,3,Q1,FY2019
2019-03-19,20190319,2019,3,Q1,FY2019
2019-03-20,20190320,2019,3,Q1,FY2019
2019-03-21,20190321,2019,3,Q1,FY2019
2019-03-22,20190322,2019,3,Q1,FY2019
2019-03-23,20190323,2019,3,Q1,FY2019
2019-03-24,20190324,2019,3,Q1,FY2019
2019-03-25,20190325,2019,3,Q1,FY2019
2019-03-26,20190326,2019,3,Q1,FY2019
2019-03-27,20190327,2019,3,Q1,FY2019
2019-03-28,20190328,2019,3,Q1,FY2019
2019-03-29,20190329,2019,3,Q1,FY2019
2019-03-30,20190330,2019,3,Q1,FY2019
2019-03-31,20190331,2019,3,Q1,FY2019
2019-04-01,20190401,2019,4,Q2,FY2019
2019-04-02,20190402,2019,4,Q2,FY2019
2019-04-03,20190403,2019,4,Q2,FY2019
2019-04-04,20190404,2019,4,Q2,FY2019
2019-04-05,20190405,2019,4,Q2,FY2019
2019-04-06,20190406,2019,4,Q2,FY2019
2019-04-07,20190407,2019,4,Q2,FY2019
2019-04-08,20190408,2019,4,Q2,FY2019
2019-04-09,20190409,2019,4,Q2,FY2019
2019-04-10,20190410,2019,4,Q2,FY2019
2019-04-11,20190411,2019,4,Q2,FY2019
2019-04-12,20190412,2019,4,Q2,FY2019
2019-04-13,20190413,2019,4,Q2,FY2019
2019-04-14,20190414,2019,4,Q2,FY2019
2019-04-15,20190415,2019,4,Q2,FY2019
2019-04-16,20190416,2019,4,Q2,FY2019
2019-04-17,20190417,2019,4,Q2,FY2019
2019-04-18,20190418,2019,4,Q2,FY2019
2019-04-19,20190419,2019,4,Q2,FY2019
2019-04-20,20190420,2019,4,Q2,FY2019
2019-04-21,20190421,2019,4,Q2,FY2019
2019-04-22,20190422,2019,4,Q2,FY2019
2019-04-23,20190423,2019,4,Q2,FY2019
2019-04-24,20190424,2019,4,Q2,FY2019
2019-04-25,20190425,2019,4,Q2,FY2019
2019-04-26,20190426,2019,4,Q2,FY2019
2019-04-27,20190427,2019,4,Q2,FY2019
2019-04-28,20190428,2019,4,Q2,FY2019
2019-04-29,20190429,2019,4,Q2,FY2019
2019-04-30,20190430,2019,4,Q2,FY2019
2019-05-01,20190501,2019,5,Q2,FY2019
2019-05-02,20190502,2019,5,Q2,FY2019
2019-05-03,20190503,2019,5,Q2,FY2019
2019-05-04,20190504,2019,5,Q2,FY2019
2019-05-05,20190505,2019,5,Q2,FY2019
2019-05-06,20190506,2019,5,Q2,FY2019
2019-05-07,20190507,2019,5,Q2,FY2019
2019-05-08,20190508,2019,5,Q2,FY2019
2019-05-09,20190509,2019,5,Q2,FY2019
2019-05-10,20190510,2019,5,Q2,FY2019
2019-05-11,20190511,2019,5,Q2,FY2019
2019-05-12,20190512,2019,5,Q2,FY2019
2019-05-13,20190513,2019,5,Q2,FY2019
2019-05-14,20190514,2019,5,Q2,FY2019
2019-05-15,20190515,2019,5,Q2,FY2019
2019-05-16,20190516,2019,5,Q2,FY2019
2019-05-17,20190517,2019,5,Q2,FY2019
2019-05-18,20190518,2019,5,Q2,FY2019
2019-05-19,20190519,2019,5,Q2,FY2019
2019-05-20,20190520,2019,5,Q2,FY2019
2019-05-21,20190521,2019,5,Q2,FY2019
2019-05-22,20190522,2019,5,Q2,FY2019
2019-05-23,20190523,2019,5,Q2,FY2019
2019-05-24,20190524,2019,5,Q2,FY2019
2019-05-25,20190525,2019,5,Q2,FY2019
2019-05-26,20190526,2019,5,Q2,FY2019
2019-05-27,20190527,2019,5,Q2,FY2019
2019-05-28,20190528,2019,5,Q2,FY2019
2019-05-29,20190529,2019,5,Q2,FY2019
2019-05-30,20190530,2019,5,Q2,FY2019
2019-05-31,20190531,2019,5,Q2,FY2019
2019-06-01,20190601,2019,6,Q2,FY2019
2019-06-02,20190602,2019,6,Q2,FY2019
2019-06-03,20190603,2019,6,Q2,FY2019
2019-06-04,20190604,2019,6,Q2,FY2019
2019-06-05,20190605,2019,6,Q2,FY2019
2019-06-06,20190606,2019,6,Q2,FY2019
2019-06-07,20190607,2019,6,Q2,FY2019
2019-06-08,20190608,2019,6,Q2,FY2019
2019-06-09,20190609,2019,6,Q2,FY2019
2019-06-10,20190610,2019,6,Q2,FY2019
2019-06-11,20190611,2019,6,Q2,FY2019
2019-06-12,20190612,2019,6,Q2,FY2019
2019-06-13,20190613,2019,6,Q2,FY2019
